camera_site,filename,class_id,prob,class_name,count,rand_name,conf,expert_updated,event,timestamp,flash_fired
cam_5,I__00034-0.JPG,1,0.81589425,tasmanian_pademelon,1,meUvrnhteTm32nxy.JPG,0.892,0,25,23/11/2023 8:28:00,0
cam_5,I__00036-0.JPG,1,0.9871258,tasmanian_pademelon,1,1JVRgRFDclLFiG4J.JPG,0.954,0,26,2/12/2023 7:46:14,0
cam_5,I__00037-0.JPG,1,0.9052426,tasmanian_pademelon,1,xU5qZorzEMBIBjOg.JPG,0.959,0,26,2/12/2023 7:47:06,0
cam_5,I__00039-0.JPG,1,0.98435193,tasmanian_pademelon,1,rzAieD6B1ijO6z5X.JPG,0.954,0,27,2/12/2023 7:54:16,0
cam_5,I__00040-0.JPG,1,0.9749922,tasmanian_pademelon,1,vyAJm9rqXinx7EeO.JPG,0.927,0,28,4/12/2023 10:44:08,0
cam_5,I__00041-0.JPG,1,0.9872228,tasmanian_pademelon,1,tOiNw1ACEibSHe9R.JPG,0.954,0,29,7/12/2023 4:18:00,1
cam_6,I__00001-0.JPG,8,0.9993767,superb_lyrebird,1,IUZ0IcvHjqoXqpeL.JPG,0.943,0,1,22/07/2023 10:24:44,0
cam_6,I__00002-0.JPG,8,0.9967475,superb_lyrebird,1,M85d4AYMkOmfTs13.JPG,0.9,0,2,22/07/2023 12:20:38,0
cam_6,I__00003-0.JPG,8,0.91951144,superb_lyrebird,1,S1jRyOoSNrxm9Axo.JPG,0.569,0,3,14/08/2023 10:17:14,0
cam_6,I__00004-0.JPG,8,0.9209133,superb_lyrebird,1,9j4SqFlWNluCTNps.JPG,0.71,0,4,16/08/2023 12:28:24,0
cam_6,I__00005-0.JPG,1,0.7170459,tasmanian_pademelon,1,Ds5rVHSt6tQGQWhS.JPG,0.882,0,5,26/08/2023 15:48:12,0
cam_6,I__00007-0.JPG,8,0.9882081,superb_lyrebird,1,s7DRmrUj5KeywV1n.JPG,0.966,0,6,29/08/2023 13:00:44,0
cam_6,I__00008-0.JPG,1,0.98598135,tasmanian_pademelon,1,rqG6VFztZx94eIXi.JPG,0.858,0,7,31/08/2023 13:05:34,0
cam_6,I__00009-0.JPG,1,0.9109089,tasmanian_pademelon,1,jxJZyzF9lw1u953w.JPG,0.759,0,7,31/08/2023 13:06:20,0
cam_6,I__00010-0.JPG,1,0.96322346,tasmanian_pademelon,1,6KuqWKdzo1ow0dUM.JPG,0.937,0,7,31/08/2023 13:07:48,0
